商品id	商品名	价格	评价数
576350	【自营】好时（Hershey·s）巧珍珠牛奶巧克力140g	26.90	16
508144	【自营】益达木糖醇无糖口香糖沁香蓝莓40粒(瓶装  5...	9.00	261
585985	【自营】益达无糖口香糖摇益摇薄荷味70粒 98g	15.90	28
586595	【自营】益达无糖口香糖摇益摇西瓜味70粒 98g 新老...	15.90	15
593644	【自营】雪原羊奶贝奶片350g	32.00	1
593643	【自营】雪原牛初乳奶贝350g	32.00	2
593671	【自营】彩虹 3D立体拼图	10.00	9
575388	【自营】德芙丝滑牛奶巧克力袋装84g	13.50	8
575402	【自营】德芙白巧碗装252g	33.90	2
575401	【自营】德芙什锦装碗装249g 新老包装随机发货	32.50	159
577675	【自营】德芙心语礼盒150g	59.90	4
10045801	德芙心语礼盒150g	60.00	0
551849	【自营】好时臻吻榛仁夹心牛奶巧克力4粒装(袋装 33g)	9.90	85
10096050	好时臻吻榛仁夹心牛奶巧克力4粒装(袋装 33g)*2	11.20	0
551851	【自营】好时臻吻榛仁夹心牛奶巧克力22粒装(盒装 18...	63.00	18
551854	【自营】好时巧珍珠牛奶巧克力(铁盒装 60g)	19.90	2
557021	【自营】阿尔卑斯热带水果味硬糖棒棒糖20支装(200g ...	8.80	9
502932	【自营】曼妥思冻感粒方薄荷味口香糖(瓶装 46g)	9.80	51
341264	曼妥思冻感粒方薄荷味口香糖(瓶装 46g)两连包	18.60	0
513485	【自营】好时曲奇奶香白巧克力(袋装 36g）	7.00	22
512900	【自营】台湾盛香珍果冻306g（鸡蛋口味）(台湾进口）	19.80	8
513018	【自营】旺旺苹果葡萄果肉果冻(袋装 200g)	4.50	14
512060	【自营】好时精选巧克力礼盒(盒装 112g)三款包装随...	48.00	21
513019	【自营】旺旺桔子菠萝果肉果冻(袋装 200g)	5.00	27
10433233	【自营】旺旺桔子菠萝果肉果冻(袋装 200g)*2	10.00	1
513489	【自营】好时之吻KISSES精选巧克力礼盒（盒装 420g）	118.00	14
502906	【自营】阿尔卑斯柠檬牛奶味棒棒糖(袋装 20支)	8.80	16
341169	阿尔卑斯柠檬牛奶味棒棒糖(袋装 20支)两连包	16.20	0
502910	【自营】阿尔卑斯荔枝牛奶味棒棒糖(袋装 20支)	8.80	17
341167	阿尔卑斯荔枝牛奶味棒棒糖(袋装 20支)两连包	16.20	0
502913	【自营】阿尔卑斯混合水果袋装(袋装 150g)	8.00	75
323715	阿尔卑斯混合水果袋装(袋装 150g)两连包	13.70	0
502930	【自营】曼妥思清劲速无糖口香糖冬青薄荷味(瓶装56g)	9.50	54
341243	曼妥思冬青薄荷口香糖(瓶装 56g)两连包	18.10	0
502928	【自营】曼妥思清劲速无糖口香糖清新薄荷味(瓶装56g)	9.50	102
341247	曼妥思清新薄荷口香糖(瓶装 56g)两连包	18.10	0
502926	【自营】曼妥思清果无糖口香糖火红鲜果味 清新酸柠...	9.50	35
341234	曼妥思酸柠红果口香糖(瓶装 56g)两连包	18.10	0
502931	【自营】曼妥思冻感粒方葡萄味口香糖(瓶装 46g)	9.80	41
502933	【自营】曼妥思冻感粒方热烈果味口香糖(瓶装 46g)	9.80	51
341275	曼妥思冻感粒方热烈果味口香糖(瓶装 46g)两连包	18.60	0
505793	【自营】好时巴达木牛奶巧克力 （袋装82g）	16.20	73
505794	【自营】好时牛奶巧克力（袋装82g）	16.20	29
505795	【自营】好时之吻Kisses黑巧克力82g(加量装赠送13g...	16.20	40
505796	【自营】好时曲奇奶香白巧克力（袋装82g）	16.20	31
505797	【自营】好时巴旦木牛奶巧克力（袋装146g）	26.90	30
505798	【自营】好时牛奶巧克力（袋装146g）	26.90	20
506147	【自营】喜之郎cici5支特惠装(袋装750g）	14.50	4
506149	【自营】喜之郎蜜桃果冻爽单杯装（杯装218g）	2.50	2
506151	【自营】喜之郎香橙果冻爽单杯装（杯装218g）	2.50	8
506175	【自营】梁丰麦丽素80g	3.90	260
389335	梁丰麦丽素(袋装80g)3连包	9.50	0
344726	梁丰麦丽素(袋装80g)三连包	11.70	0
505799	【自营】好时黑巧克力 （袋装146g）	26.90	21
506197	【自营】大白兔奶糖糖果(袋装 114g)	8.40	76
345572	大白兔奶糖糖果(袋装 114g)两连包	12.40	0
345403	大白兔奶糖糖果(袋装 114g)两连包	12.40	0
520251	【自营】生和堂金银花龟苓膏(盒装 215g)	4.70	220
344597	生和堂金银花龟苓膏(盒装 215g)两连包	9.50	0
520255	【自营】生和堂金牌龟苓膏(盒装 215g)	4.70	258
344598	生和堂龟苓膏(盒装 215g)两连包	9.50	0
526429	【自营】好时之吻Kisses曲奇奶香白巧克力(袋装 146g)	26.90	22
504709	【自营】德芙香浓黑巧克力(袋装 43g ) 新老包装随机...	7.20	69
529809	【自营】好时巴旦木牛奶巧克力 （铁盒装60g）	19.90	11
530402	【自营】炫迈炫动薄荷味无糖口香糖50.4g	9.90	12
530403	【自营】炫迈水蜜西瓜味无糖口香糖50.4g	9.90	13
602461	【自营】生和堂龟苓膏礼盒装 215g*12	44.60	5
602460	【自营】生和堂秘制冰糖菊花龟苓膏 208g*4	15.00	35
602776	【自营】猫哆哩 西番莲果派 400g	29.90	0
602596	【自营】KISKIS酷滋无糖薄荷糖 荔枝味 21g	13.50	0
602599	【自营】KISKIS酷滋咀嚼薄荷糖  绿豆沙味 52g	14.50	0
10471027	【一元秒杀】KISKIS酷滋咀嚼薄荷糖  绿豆沙味 52g	14.50	0
511323	【自营】明治雪吻巧克力(盒装 蓝莓口味 71g)	19.80	10
511333	【自营】明治56%特纯黑巧克力(65g 块装)	14.90	7
511912	【自营】明治巴旦木夹心黑巧克力(盒装 80g)	17.50	1
511908	【自营】明治雪吻巧克力(盒装 草莓口味 62g)	19.80	16
521205	【自营】双钱牌龟苓膏（菊花罗汉果味 组合装 200g*6)	25.00	8
521206	【自营】双钱牌龟苓膏（红豆味 组合装 180g*6)	25.00	4
521207	【自营】双钱牌梧州龟苓膏（铁听装 250g*12)	48.00	32
521204	【自营】双钱牌龟苓膏（原味 组合装 200g*6)	25.00	8
521758	【自营】益达瓶装口香糖40粒(清香蜜柚 瓶装 56g)	9.90	118
538791	【自营】阿尔卑斯特质纯真高级牛奶硬糖单粒散装 （...	49.90	6
508134	【自营】绿箭无糖薄荷糖(原味薄荷味 35粒铁盒装 23....	9.20	87
508135	【自营】绿箭无糖薄荷糖(留兰香薄荷味 35粒铁盒装 2...	9.20	48
508137	【自营】绿箭无糖薄荷糖(茉莉花茶味 35粒铁盒装 23....	9.20	88
508136	【自营】绿箭无糖薄荷糖(冰柠薄荷味 35粒铁盒装 23....	9.20	118
508140	【自营】益达木糖醇无糖口香糖(香浓蜜瓜味 40粒瓶装...	9.60	107
508142	【自营】益达木糖醇无糖口香糖(香橙薄荷味 40粒瓶装...	10.80	185
341314	益达木糖醇无糖口香糖(香橙薄荷味 40粒瓶装 56g)两...	18.90	0
508143	【自营】益达木糖醇无糖口香糖清爽西瓜味40粒(瓶装 ...	9.00	79
10210642	益达木糖醇无糖口香糖清爽西瓜味40粒(瓶装 56g)*2	21.00	0
508145	【自营】益达无糖口香糖含维生素C+E 清新西柚味 56g	10.80	3
508147	【自营】彩虹糖原味(瓶装  120g)	10.60	30
508146	【自营】益达无糖口香糖冰柠味40粒(瓶装?56g)	10.80	4
516123	【自营】绿箭黑加仑子味薄荷糖35粒(金属瓶装  23.8g...	9.20	58
341209	绿箭黑加仑子味薄荷糖35粒(金属瓶装  23.8g)两连包	16.90	0
509308	【自营】好时精选巧克力礼盒(牛奶+巴旦木 盒装160g)	62.00	35
562470	【自营】海南春光特制椰子糖（袋装 120g）	7.20	25
10352070	【自营】海南春光特制椰子糖（袋装 120g）*2	13.60	0
565346	【自营】旺旺旺仔牛奶糖(包装原味126g)	8.00	21
574316	【自营】绿箭无糖薄荷糖留兰香薄荷味50粒金属瓶装 ...	12.90	9
574320	【自营】益达木糖醇无糖口香糖香浓蜜瓜味70粒装	15.90	64
574319	【自营】益达木糖醇无糖口香糖清爽草莓味70粒装	15.90	15
578908	【自营】马大姐北京酥糖 468g	20.80	26
594664	【自营】好时婚庆黑巧克力500g	72.90	5
594671	【自营】好时 贝客诗蓝莓和阿萨伊果味夹心黑巧克力(...	26.90	6
594670	【自营】好时 贝客诗石榴味夹心黑巧克力(袋装)125g	26.90	4
594666	【自营】好时婚庆牛奶巧克力（粉红色）500g	72.90	0
594665	【自营】好时婚庆榛仁巧克力500g	72.90	4
576351	【自营】好时（Hershey·s）巧珍珠曲奇奶香白巧克力...	26.90	13
595390	【自营】德芙蔓越莓黑巧克力100g	21.90	2
595391	【自营】德芙蓝莓黑巧克力100g	21.90	2
595392	【自营】德芙车厘子黑巧克力100g	21.90	1
595396	【自营】德芙便携罐装小巧粒黑巧42g	14.90	0
595395	【自营】德芙便携罐装小巧粒牛奶42g	14.90	0
606438	【自营】绿箭脆皮软心薄荷糖瓶装原味80g	9.90	1
606646	【自营】喜之郎夏日奇冰脆脆冰风味饮料680ml	7.80	0
10412230	【自营】喜之郎夏日奇冰脆脆冰风味饮料680ml*2	15.60	0
539463	【自营】阿尔发木糖醇甜味料（袋装250g）	21.50	16
550788	【自营】阿尔卑斯混合味牛奶硬糖单粒散装(原味.草莓...	49.90	27
54269	【自营】绿箭口香糖(薄荷味 瓶装 64g) 新老包装随机...	9.50	164
54471	【自营】益达木糖醇无糖口香糖冰凉薄荷味56g(瓶装 ...	9.00	69
341143	益达木糖醇无糖口香糖冰凉薄荷味56g(瓶装 约40粒)两...	18.90	0
54645	【自营】金帝榛仁脆心巧克力(礼盒装 648g)	119.00	14
63975	【自营】FERRERO ROCHER费列罗榛果威化巧克力5粒 62...	19.80	143
63981	【自营】KINDER健达缤纷乐牛奶榛果威化巧克力2条装4...	8.00	82
54913	【自营】益达草本精华无糖口香糖56g 约40粒装	10.80	4
