id	商品名	价格
576350	【自营】好时（Hershey·s）巧珍珠牛奶巧克力140g	26.90
508144	【自营】益达木糖醇无糖口香糖沁香蓝莓40粒(瓶装  5...	9.00
585985	【自营】益达无糖口香糖摇益摇薄荷味70粒 98g	15.90
586595	【自营】益达无糖口香糖摇益摇西瓜味70粒 98g 新老...	15.90
593644	【自营】雪原羊奶贝奶片350g	32.00
593643	【自营】雪原牛初乳奶贝350g	32.00
593671	【自营】彩虹 3D立体拼图	10.00
575388	【自营】德芙丝滑牛奶巧克力袋装84g	13.50
575402	【自营】德芙白巧碗装252g	33.90
575401	【自营】德芙什锦装碗装249g 新老包装随机发货	32.50
577675	【自营】德芙心语礼盒150g	59.90
10045801	德芙心语礼盒150g	60.00
551849	【自营】好时臻吻榛仁夹心牛奶巧克力4粒装(袋装 33g)	9.90
10096050	好时臻吻榛仁夹心牛奶巧克力4粒装(袋装 33g)*2	11.20
551851	【自营】好时臻吻榛仁夹心牛奶巧克力22粒装(盒装 18...	63.00
551854	【自营】好时巧珍珠牛奶巧克力(铁盒装 60g)	19.90
557021	【自营】阿尔卑斯热带水果味硬糖棒棒糖20支装(200g ...	8.80
502932	【自营】曼妥思冻感粒方薄荷味口香糖(瓶装 46g)	9.80
341264	曼妥思冻感粒方薄荷味口香糖(瓶装 46g)两连包	18.60
513485	【自营】好时曲奇奶香白巧克力(袋装 36g）	7.00
512900	【自营】台湾盛香珍果冻306g（鸡蛋口味）(台湾进口）	19.80
513018	【自营】旺旺苹果葡萄果肉果冻(袋装 200g)	4.50
512060	【自营】好时精选巧克力礼盒(盒装 112g)三款包装随...	48.00
513019	【自营】旺旺桔子菠萝果肉果冻(袋装 200g)	5.00
10433233	【自营】旺旺桔子菠萝果肉果冻(袋装 200g)*2	10.00
513489	【自营】好时之吻KISSES精选巧克力礼盒（盒装 420g）	118.00
502906	【自营】阿尔卑斯柠檬牛奶味棒棒糖(袋装 20支)	8.80
341169	阿尔卑斯柠檬牛奶味棒棒糖(袋装 20支)两连包	16.20
502910	【自营】阿尔卑斯荔枝牛奶味棒棒糖(袋装 20支)	8.80
341167	阿尔卑斯荔枝牛奶味棒棒糖(袋装 20支)两连包	16.20
502913	【自营】阿尔卑斯混合水果袋装(袋装 150g)	8.00
323715	阿尔卑斯混合水果袋装(袋装 150g)两连包	13.70
502930	【自营】曼妥思清劲速无糖口香糖冬青薄荷味(瓶装56g)	9.50
341243	曼妥思冬青薄荷口香糖(瓶装 56g)两连包	18.10
502928	【自营】曼妥思清劲速无糖口香糖清新薄荷味(瓶装56g)	9.50
